file,line,class,component,element,category
client/components/AddWatchlistSheet.tsx,220,bg-slate-900/40,AddWatchlistSheet,unknown,surface/background
client/components/AddWatchlistSheet.tsx,220,border-slate-700,AddWatchlistSheet,unknown,border
client/components/AddWatchlistSheet.tsx,220,placeholder-slate-500,AddWatchlistSheet,unknown,text
client/components/AddWatchlistSheet.tsx,230,text-slate-400,AddWatchlistSheet,span,text
client/components/AddWatchlistSheet.tsx,258,text-slate-500,AddWatchlistSheet,span,text
client/components/AddWatchlistSheet.tsx,275,text-slate-400,AddWatchlistSheet,div,text
client/components/AddWatchlistSheet.tsx,289,text-slate-500,AddWatchlistSheet,span,text
client/components/DCFWidget.tsx,54,bg-slate-900/50,DCFWidget,div,surface/background
client/components/DCFWidget.tsx,57,bg-slate-800,DCFWidget,div,surface/background
client/components/DCFWidget.tsx,59,text-slate-400,DCFWidget,unknown,text
client/components/DCFWidget.tsx,65,text-slate-400,DCFWidget,unknown,text
client/components/DCFWidget.tsx,74,text-slate-400,DCFWidget,label,text
client/components/DCFWidget.tsx,76,text-slate-500,DCFWidget,span,text
client/components/DCFWidget.tsx,81,bg-slate-800,DCFWidget,unknown,surface/background
client/components/DCFWidget.tsx,81,border-slate-700,DCFWidget,unknown,border
client/components/DCFWidget.tsx,89,text-slate-400,DCFWidget,label,text
client/components/DCFWidget.tsx,90,text-slate-500,DCFWidget,Info,text
client/components/DCFWidget.tsx,96,bg-slate-800,DCFWidget,unknown,surface/background
client/components/DCFWidget.tsx,96,border-slate-700,DCFWidget,unknown,border
client/components/DCFWidget.tsx,103,text-slate-400,DCFWidget,label,text
client/components/DCFWidget.tsx,104,text-slate-500,DCFWidget,Info,text
client/components/DCFWidget.tsx,110,bg-slate-800,DCFWidget,unknown,surface/background
client/components/DCFWidget.tsx,110,border-slate-700,DCFWidget,unknown,border
client/components/DCFWidget.tsx,120,bg-slate-800/50,DCFWidget,div,surface/background
client/components/DCFWidget.tsx,120,border-slate-700,DCFWidget,div,border
client/components/DCFWidget.tsx,121,text-slate-400,DCFWidget,p,text
client/components/DCFWidget.tsx,125,text-slate-500,DCFWidget,p,text
client/components/DCFWidget.tsx,127,bg-slate-800/50,DCFWidget,div,surface/background
client/components/DCFWidget.tsx,127,border-slate-700,DCFWidget,div,border
client/components/DCFWidget.tsx,129,text-slate-400,DCFWidget,p,text
client/components/DCFWidget.tsx,134,bg-slate-900,DCFWidget,unknown,surface/background
client/components/DCFWidget.tsx,134,border-slate-700,DCFWidget,unknown,border
client/components/DCFWidget.tsx,141,text-slate-500,DCFWidget,p,text
client/components/DCFWidget.tsx,145,bg-slate-900/30,DCFWidget,div,surface/background
client/components/DCFWidget.tsx,145,border-slate-800,DCFWidget,div,border
client/components/DeferredInsightsCard.tsx,6,border-slate-700,DeferredInsightsCard,unknown,border
client/components/DeferredInsightsCard.tsx,128,border-slate-700,DeferredInsightsCard,unknown,border
client/components/DipFinder.tsx,99,bg-slate-800,DipFinder,unknown,surface/background
client/components/DipFinder.tsx,99,border-slate-700,DipFinder,unknown,border
client/components/DipFinder.tsx,107,text-slate-400,DipFinder,ChevronDown,text
client/components/DipFinder.tsx,117,text-slate-400,DipFinder,span,text
client/components/DipFinder.tsx,150,bg-slate-800/50,DipFinder,div,surface/background
client/components/DipFinder.tsx,151,bg-slate-500,DipFinder,div,surface/background
client/components/DipFinder.tsx,184,text-slate-500,DipFinder,div,text
client/components/EarningsAlertHistoryPanel.tsx,33,text-slate-300,EarningsAlertHistoryPanel,unknown,text
client/components/EarningsAlertHistoryPanel.tsx,52,border-slate-700,EarningsAlertHistoryPanel,unknown,border
client/components/EarningsAlertHistoryPanel.tsx,52,bg-slate-900/95,EarningsAlertHistoryPanel,unknown,surface/background
client/components/EarningsAlertHistoryPanel.tsx,54,border-slate-800,EarningsAlertHistoryPanel,div,border
client/components/EarningsAlertHistoryPanel.tsx,54,bg-slate-900/95,EarningsAlertHistoryPanel,div,surface/background
client/components/EarningsAlertHistoryPanel.tsx,56,text-slate-500,EarningsAlertHistoryPanel,span,text
client/components/EarningsAlertHistoryPanel.tsx,64,text-slate-500,EarningsAlertHistoryPanel,p,text
client/components/EarningsAlertHistoryPanel.tsx,69,divide-slate-800,EarningsAlertHistoryPanel,ul,border
client/components/EarningsAlertHistoryPanel.tsx,80,text-slate-500,EarningsAlertHistoryPanel,span,text
client/components/EarningsAlertHistoryPanel.tsx,88,bg-slate-700,EarningsAlertHistoryPanel,unknown,surface/background
client/components/EarningsAlertHistoryPanel.tsx,88,text-slate-300,EarningsAlertHistoryPanel,unknown,text
client/components/EarningsAlertStrip.tsx,67,bg-slate-700/30,EarningsAlertStrip,unknown,surface/background
client/components/EarningsAlertStrip.tsx,67,text-slate-300,EarningsAlertStrip,unknown,text
client/components/EarningsAlertStrip.tsx,89,bg-slate-700,EarningsAlertStrip,unknown,surface/background
client/components/EarningsAlertStrip.tsx,89,text-slate-300,EarningsAlertStrip,unknown,text
client/components/EarningsAlertStrip.tsx,98,text-slate-500,EarningsAlertStrip,span,text
client/components/EarningsAlertStrip.tsx,102,text-slate-400,EarningsAlertStrip,div,text
client/components/EarningsAlertStrip.tsx,124,bg-slate-700,EarningsAlertStrip,unknown,surface/background
client/components/EarningsAlertStrip.tsx,124,text-slate-200,EarningsAlertStrip,unknown,text
client/components/EarningsAlertStrip.tsx,133,text-slate-500,EarningsAlertStrip,unknown,text
client/components/EarningsAlertStrip.tsx,148,bg-slate-900,EarningsAlertStrip,unknown,surface/background
client/components/EarningsAlertStrip.tsx,148,border-slate-700,EarningsAlertStrip,unknown,border
client/components/EarningsCalendar.tsx,27,bg-slate-800/50,EarningsCalendar,unknown,surface/background
client/components/EarningsCalendar.tsx,30,border-slate-700/50,EarningsCalendar,unknown,border
client/components/EarningsCalendar.tsx,46,text-slate-400,EarningsCalendar,div,text
client/components/EarningsCalendar.tsx,61,text-slate-400,EarningsCalendar,div,text
client/components/EarningsCalendar.tsx,263,text-slate-400,EarningsCalendar,span,text
client/components/EarningsCalendar.tsx,263,bg-slate-800/60,EarningsCalendar,span,surface/background
client/components/EarningsCalendar.tsx,274,text-slate-400,EarningsCalendar,div,text
client/components/EarningsCalendar.tsx,283,bg-slate-900/50,EarningsCalendar,div,surface/background
client/components/EarningsCalendar.tsx,298,border-slate-700/50,EarningsCalendar,div,border
client/components/LanguageSwitcher.tsx,16,bg-slate-950/50,LanguageSwitcher,div,surface/background
client/components/LanguageSwitcher.tsx,16,border-slate-800,LanguageSwitcher,div,border
client/components/LanguageSwitcher.tsx,23,text-slate-400,LanguageSwitcher,unknown,text
client/components/LanguageSwitcher.tsx,38,text-slate-400,LanguageSwitcher,unknown,text
client/components/Portfolio.tsx,261,bg-slate-800,Portfolio,unknown,surface/background
client/components/Portfolio.tsx,261,border-slate-700,Portfolio,unknown,border
client/components/Portfolio.tsx,267,text-slate-400,Portfolio,ChevronDown,text
client/components/Portfolio.tsx,274,bg-slate-800,Portfolio,unknown,surface/background
client/components/Portfolio.tsx,274,border-slate-700,Portfolio,unknown,border
client/components/Portfolio.tsx,280,text-slate-400,Portfolio,ChevronDown,text
client/components/Portfolio.tsx,283,text-slate-300,Portfolio,label,text
client/components/Portfolio.tsx,283,bg-slate-800/40,Portfolio,label,surface/background
client/components/Portfolio.tsx,283,border-slate-700/50,Portfolio,label,border
client/components/Portfolio.tsx,284,text-slate-400,Portfolio,Calendar,text
client/components/Portfolio.tsx,289,border-slate-700,Portfolio,unknown,border
client/components/Portfolio.tsx,289,bg-slate-800,Portfolio,unknown,surface/background
client/components/Portfolio.tsx,321,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,327,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,333,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,339,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,345,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,362,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,366,text-slate-500,Portfolio,p,text
client/components/Portfolio.tsx,369,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,373,text-slate-500,Portfolio,p,text
client/components/Portfolio.tsx,376,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,380,text-slate-500,Portfolio,p,text
client/components/Portfolio.tsx,383,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,390,text-slate-500,Portfolio,p,text
client/components/Portfolio.tsx,393,text-slate-400,Portfolio,p,text
client/components/Portfolio.tsx,400,text-slate-500,Portfolio,p,text
client/components/Portfolio.tsx,409,text-slate-400,Portfolio,div,text
client/components/Portfolio.tsx,416,bg-slate-800,Portfolio,unknown,surface/background
client/components/Portfolio.tsx,416,border-slate-700,Portfolio,unknown,border
client/components/Portfolio.tsx,423,text-slate-400,Portfolio,ChevronDown,text
client/components/Portfolio.tsx,472,text-slate-300,Portfolio,td,text
client/components/Portfolio.tsx,487,bg-slate-900/40,Portfolio,div,surface/background
client/components/Portfolio.tsx,487,border-slate-800,Portfolio,div,border
client/components/Portfolio.tsx,487,text-slate-300,Portfolio,div,text
client/components/Portfolio.tsx,489,text-slate-200,Portfolio,span,text
client/components/Portfolio.tsx,494,text-slate-500,Portfolio,p,text
client/components/ProviderHealthIndicator.tsx,42,bg-slate-900/70,ProviderHealthIndicator,unknown,surface/background
client/components/ProviderHealthIndicator.tsx,42,border-slate-700/60,ProviderHealthIndicator,unknown,border
client/components/ProviderHealthIndicator.tsx,42,text-slate-300,ProviderHealthIndicator,unknown,text
client/components/ProviderHealthIndicator.tsx,43,bg-slate-500,ProviderHealthIndicator,unknown,surface/background
client/components/Skeleton.tsx,20,bg-slate-800/60,Skeleton,unknown,surface/background
client/components/StockSlideOver.tsx,84,bg-slate-900,StockSlideOver,unknown,surface/background
client/components/StockSlideOver.tsx,84,border-slate-700,StockSlideOver,unknown,border
client/components/StockSlideOver.tsx,88,bg-slate-900,StockSlideOver,div,surface/background
client/components/StockSlideOver.tsx,88,border-slate-700,StockSlideOver,div,border
client/components/StockSlideOver.tsx,96,text-slate-500,StockSlideOver,p,text
client/components/StockSlideOver.tsx,104,text-slate-400,StockSlideOver,unknown,text
client/components/StockSlideOver.tsx,115,text-slate-400,StockSlideOver,p,text
client/components/StockSlideOver.tsx,120,text-slate-500,StockSlideOver,p,text
client/components/StockSlideOver.tsx,126,bg-slate-800/50,StockSlideOver,div,surface/background
client/components/StockSlideOver.tsx,126,border-slate-700,StockSlideOver,div,border
